timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/motor_status_x,/motor_status_y,/motor_status_z
1767723991.2194045,,,,,,,54,,,
1767723991.2370675,,,,,,,,0.0,15.0,0.0
1767723991.2474167,311.809,76.668,201.3785,,,,,,,
1767723991.261532,,,,0.0,-0.0,0.0,,,,
1767723991.2699869,,,,,,,55,,,
1767723991.2861714,,,,,,,,0.0,18.0,0.0
1767723991.299065,311.809,76.668,102.0665,,,,,,,
1767723991.3126783,,,,0.0,-0.0,0.0,,,,
1767723991.3187785,,,,,,,56,,,
1767723991.3353848,,,,,,,,0.0,18.0,0.0
1767723991.3476555,311.809,76.668,102.0665,,,,,,,
1767723991.3614821,,,,0.0,-0.0,0.0,,,,
1767723991.37012,,,,,,,57,,,
1767723991.3854682,,,,,,,,0.0,21.0,0.0
1767723991.3983455,311.809,76.668,201.189,,,,,,,
1767723991.4117746,,,,0.0,-0.0,0.0,,,,
1767723991.4195774,,,,,,,58,,,
1767723991.4353523,,,,,,,,0.0,21.0,0.0
1767723991.4476519,311.809,76.668,201.189,,,,,,,
1767723991.461802,,,,0.0,-0.0,0.0,,,,
1767723991.4708395,,,,,,,59,,,
1767723991.4856625,,,,,,,,0.0,24.0,0.0
1767723991.4971652,311.809,76.668,105.628,,,,,,,
1767723991.5120177,,,,0.0,-0.0,0.0,,,,
1767723991.5215988,,,,,,,60,,,
1767723991.5353663,,,,,,,,0.0,24.0,0.0
1767723991.5488687,462.7875,440.4535,201.2635,,,,,,,
1767723991.5615993,,,,0.0,-0.0,0.0,,,,
1767723991.5696843,,,,,,,61,,,
1767723991.5856364,,,,,,,,0.0,27.0,0.0
1767723991.5967956,462.7875,440.4535,150.5045,,,,,,,
1767723991.6116798,,,,0.0,-0.0,0.0,,,,
1767723991.622056,,,,,,,62,,,
1767723991.6353145,,,,,,,,0.0,27.0,0.0
1767723991.6477926,462.7875,440.4535,202.1825,,,,,,,
1767723991.6615214,,,,0.0,-0.0,0.0,,,,
1767723991.6700633,,,,,,,63,,,
1767723991.6853971,,,,,,,,0.0,30.0,0.0
1767723991.6981695,462.7875,321.585,202.1825,,,,,,,
1767723991.7118366,,,,0.0,-0.0,0.0,,,,
1767723991.7198975,,,,,,,64,,,
1767723991.7356906,,,,,,,,0.0,30.0,0.0
1767723991.7501647,462.7875,321.585,202.7185,,,,,,,
1767723991.7614794,,,,0.0,-0.0,0.0,,,,
1767723991.7676663,,,,,,,65,,,
1767723991.7854733,,,,,,,,0.0,33.0,0.0
1767723991.7980354,462.7875,321.585,202.754,,,,,,,
1767723991.811543,,,,0.0,-0.0,0.0,,,,
1767723991.819053,,,,,,,66,,,
1767723991.835635,,,,,,,,0.0,33.0,0.0
1767723991.8475468,462.7875,321.585,202.9595,,,,,,,
1767723991.8617334,,,,0.0,-0.0,0.0,,,,
1767723991.869658,,,,,,,67,,,
1767723991.8854675,,,,,,,,0.0,36.0,0.0
1767723991.8969707,462.7875,329.163,217.922,,,,,,,
1767723991.912089,,,,0.0,-0.0,0.0,,,,
1767723991.9226305,,,,,,,68,,,
1767723991.9353433,,,,,,,,0.0,36.0,0.0
1767723991.9483721,462.7875,329.163,217.922,,,,,,,
1767723991.9618638,,,,0.0,-0.0,0.0,,,,
1767723991.9699996,,,,,,,69,,,
1767723991.985379,,,,,,,,0.0,39.0,0.0
1767723991.9978437,462.7875,329.163,217.922,,,,,,,
1767723992.0118306,,,,0.0,-0.0,0.0,,,,
1767723992.0203981,,,,,,,70,,,
1767723992.035369,,,,,,,,0.0,39.0,0.0
1767723992.0475957,462.7875,336.669,917.2515,,,,,,,
1767723992.0634115,,,,0.0,-0.0,0.0,,,,
1767723992.0692618,,,,,,,71,,,
1767723992.0853865,,,,,,,,0.0,42.0,0.0
1767723992.0971162,309.575,336.669,152.9385,,,,,,,
1767723992.1118386,,,,0.0,-0.0,0.0,,,,
1767723992.12205,,,,,,,72,,,
1767723992.135361,,,,,,,,0.0,42.0,0.0
1767723992.148234,309.575,336.669,152.9385,,,,,,,
1767723992.1615396,,,,0.0,-0.0,0.0,,,,
1767723992.1718194,,,,,,,73,,,
1767723992.1856403,,,,,,,,0.0,45.0,0.0
1767723992.1985645,309.575,336.669,12.2115,,,,,,,
1767723992.2117465,,,,0.0,-0.0,0.0,,,,
1767723992.2222478,,,,,,,74,,,
1767723992.2353446,,,,,,,,0.0,45.0,0.0
1767723992.2498896,310.054,336.669,204.5465,,,,,,,
1767723992.261468,,,,0.0,-0.0,0.0,,,,
1767723992.2704601,,,,,,,75,,,
1767723992.2853794,,,,,,,,0.0,48.0,0.0
1767723992.2984204,310.054,336.669,204.752,,,,,,,
1767723992.3116446,,,,0.0,-0.0,0.0,,,,
1767723992.3215806,,,,,,,76,,,
1767723992.3353584,,,,,,,,0.0,48.0,0.0
1767723992.3488371,310.054,336.669,204.752,,,,,,,
1767723992.3617413,,,,0.0,-0.0,0.0,,,,
1767723992.3684745,,,,,,,77,,,
1767723992.3855367,,,,,,,,0.0,51.0,0.0
1767723992.3977387,310.054,336.669,108.662,,,,,,,
1767723992.4116802,,,,0.0,-0.0,0.0,,,,
1767723992.420966,,,,,,,78,,,
1767723992.435364,,,,,,,,0.0,51.0,0.0
1767723992.4482443,310.5255,336.669,205.3825,,,,,,,
1767723992.461587,,,,0.0,-0.0,0.0,,,,
1767723992.469623,,,,,,,79,,,
1767723992.485415,,,,,,,,0.0,54.0,0.0
1767723992.4983404,310.5255,336.669,205.5835,,,,,,,
1767723992.5117104,,,,0.0,-0.0,0.0,,,,
