timestamp,/load_data_x,/load_data_y,/load_data_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/motor_status_x,/motor_status_y,/motor_status_z,/video_frames_z
1767723868.4378414,,,,,,,0.0,0.0,0.0,
1767723868.453621,298.844,280.7205,108.711,,,,,,,
1767723868.4675887,,,,0.0,-0.0,0.0,,,,
1767723868.4701366,,,,,,,,,,10
1767723868.4861073,,,,,,,0.0,0.0,0.0,
1767723868.5011427,298.844,280.7205,205.419,,,,,,,
1767723868.5140924,,,,0.0,-0.0,0.0,,,,
1767723868.5237634,,,,,,,,,,11
1767723868.5360563,,,,,,,0.0,0.0,0.0,
1767723868.5498176,298.844,280.7205,205.419,,,,,,,
1767723868.5685904,,,,0.0,-0.0,0.0,,,,
1767723868.5725918,,,,,,,,,,12
1767723868.5907505,,,,,,,0.0,0.0,0.0,
1767723868.6041274,298.844,145.4485,108.638,,,,,,,
1767723868.6186893,,,,0.0,-0.0,0.0,,,,
1767723868.6269703,,,,,,,,,,13
1767723868.638906,,,,,,,0.0,0.0,0.0,
1767723868.654845,298.844,145.4485,108.638,,,,,,,
1767723868.6646206,,,,0.0,-0.0,0.0,,,,
1767723868.670776,,,,,,,,,,14
1767723868.6913111,,,,,,,0.0,0.0,0.0,
1767723868.7006304,298.844,145.4485,122.959,,,,,,,
1767723868.7131364,,,,0.0,-0.0,0.0,,,,
1767723868.7269857,,,,,,,,,,15
1767723868.7437527,,,,,,,0.0,0.0,0.0,
1767723868.7507815,298.844,208.231,205.3955,,,,,,,
1767723868.7619257,,,,0.0,-0.0,0.0,,,,
1767723868.7673461,,,,,,,,,,16
1767723868.7856998,,,,,,,0.0,0.0,0.0,
1767723868.7985597,298.844,208.231,205.3955,,,,,,,
1767723868.815723,,,,0.0,-0.0,0.0,,,,
1767723868.817276,,,,,,,,,,17
1767723868.8364258,,,,,,,0.0,0.0,0.0,
1767723868.8480616,159.4015,208.231,108.7395,,,,,,,
1767723868.8617687,,,,0.0,-0.0,0.0,,,,
1767723868.8701386,,,,,,,,,,18
1767723868.886666,,,,,,,0.0,0.0,0.0,
1767723868.8981524,159.4015,208.231,108.995,,,,,,,
1767723868.9155915,,,,0.0,-0.0,0.0,,,,
1767723868.9201665,,,,,,,,,,19
1767723868.9356098,,,,,,,0.0,0.0,0.0,
1767723868.9494686,159.4015,280.7515,205.6585,,,,,,,
1767723868.9658542,,,,0.0,-0.0,0.0,,,,
1767723868.9688723,,,,,,,,,,20
