timestamp,/motor_status_x,/motor_status_y,/motor_status_z,/joystick_inputs_x,/joystick_inputs_y,/joystick_inputs_z,/video_frames_z,/load_data_x,/load_data_y,/load_data_z
1767723322.4589634,,,,0.0,-0.0,0.0,,,,
1767723322.4598157,,,,,,,44,,,
1767723322.4610367,,,,,,,,141.908,263.4625,95.02
1767723322.4989488,0.0,0.0,0.0,,,,,,,
1767723322.5116873,,,,,,,45,,,
1767723322.5119023,,,,0.0,-0.0,0.0,,,,
1767723322.514169,,,,,,,,141.908,263.4625,177.839
1767723322.54928,0.0,0.0,0.0,,,,,,,
1767723322.5575767,,,,,,,46,,,
1767723322.5588021,,,,0.0,-0.0,0.0,,,,
1767723322.5618217,,,,,,,,141.908,263.437,177.902
1767723322.5982988,0.0,0.0,0.0,,,,,,,
1767723322.6071153,,,,,,,47,,,
1767723322.6106186,,,,0.0,-0.0,0.0,,,,
1767723322.613569,,,,,,,,141.908,263.437,177.902
1767723322.6503627,0.0,0.0,0.0,,,,,,,
1767723322.658019,,,,,,,48,,,
1767723322.6589477,,,,0.0,-0.0,0.0,,,,
1767723322.665081,,,,,,,,276.1325,263.437,96.6675
1767723322.6994984,0.0,0.0,0.0,,,,,,,
1767723322.71381,,,,,,,49,,,
1767723322.7140632,,,,,,,,276.1325,197.5795,94.8915
1767723322.718321,,,,0.0,-0.0,0.0,,,,
1767723322.74869,0.0,0.0,0.0,,,,,,,
1767723322.7592168,,,,0.0,-0.0,0.0,,,,
1767723322.761653,,,,,,,50,,,
1767723322.761737,,,,,,,,276.1325,197.5795,177.8935
1767723322.7986395,0.0,0.0,0.0,,,,,,,
1767723322.8051157,,,,,,,51,,,
1767723322.8090744,,,,0.0,-0.0,0.0,,,,
1767723322.8114815,,,,,,,,276.109,197.5795,178.027
1767723322.8510208,0.0,0.0,0.0,,,,,,,
1767723322.8565342,,,,,,,52,,,
1767723322.8595965,,,,0.0,-0.0,0.0,,,,
1767723322.8616376,,,,,,,,276.109,197.5795,177.9365
1767723322.8985174,0.0,0.0,0.0,,,,,,,
1767723322.903457,,,,,,,53,,,
